Sent,Recv
117,117
114,117
115,117
115,117
114,117
116,117
111,117
112,117
114,117
112,117
110,64
114,110
114,110
112,110
108,110
113,110
108,110
112,110
109,64
109,108
110,108
110,64
109,64
112,108
110,108
112,64
111,111
109,111
108,64
107,64
110,64
109,109
105,108
109,64
108,64
113,64
106,112
107,112
112,112
112,64
108,111
108,107
111,107
105,107
106,107
109,107
112,64
108,64
109,64
111,64
113,110
108,110
109,64
113,108
106,108
111,64
107,111
109,64
108,108
107,108
107,108
109,108
111,64
109,111
109,111
110,64
107,109
110,64
110,109
114,109
108,64
108,107
110,107
110,107
108,107
108,107
110,64
107,64
108,106
109,106
110,64
107,109
105,64
105,104
106,104
106,64
108,105
106,64
107,105
107,105
108,105
111,105
110,105
108,64
107,64
107,106
109,106
109,106
107,64
108,106
104,64
109,103
110,103
108,103
112,64
106,111
109,111
108,111
108,111
108,111
108,64
110,107
111,64
108,110
110,110
107,64
109,107
106,108
110,108
112,108
108,108
104,108
107,108
110,108
109,108
108,64
110,64
109,110
110,110
110,64
111,109
108,64
109,64
107,64
107,107
111,64
108,110
109,110
108,110
107,64
108,107
110,64
109,109
104,64
107,64
111,106
107,106
104,106
111,64
109,111
107,111
107,111
110,111
106,64
110,105
108,64
108,64
108,64
107,107
109,64
106,64
104,64
109,103
109,64
108,108
108,64
107,107
109,64
107,64
106,106
107,105
111,105
104,105
108,64
104,108
107,64
107,106
104,64
108,103
107,103
104,103
110,103
111,64
111,110
109,64
109,64
112,108
113,64
112,112
108,64
111,64
112,64
109,111
114,111
118,111
116,64
118,115
117,64
117,116
119,64
118,118
119,64
124,64
125,123
122,123
127,64
126,127
127,127
128,127
130,128
129,129
132,128
130,128
131,129
128,129
134,129
131,128
131,130
126,130
127,130
130,128
127,129
122,64
127,121
123,121
125,121
121,121
121,121
121,121
116,64
115,115
116,115
117,115
112,115
110,115
114,115
111,64
110,110
107,64
109,64
109,64
111,64
107,111
112,111
107,111
107,111
111,111
108,111
106,64
107,105
110,64
110,109
105,64
107,104
107,104
105,64
107,64
107,106
109,64
109,108
106,108
106,108
108,108
106,64
108,105
107,105
105,105
105,105
110,105
106,64
110,105
106,64
107,105
111,105
105,64
103,64
109,64
105,108
107,64
106,106
107,106
105,106
106,106
108,64
105,107
105,107
106,104
104,104
106,104
107,104
105,104
105,104
105,104
103,64
104,103
103,103
98,103
97,103
94,103
94,103
97,64
98,96
99,96
113,96
128,96
143,96
168,96
190,167
215,167
233,192
233,192
233,192
233,192
233,231
233,231
233,192
233,232
233,232
233,232
233,232
218,232
189,216
162,216
134,216
114,216
91,64
78,64
67,64
56,0
50,0
48,49
41,49
49,49
51,0
56,51
63,0
67,62
70,62
78,62
83,64
88,83
92,83
98,83
96,83
101,83
105,64
101,103
106,103
105,103
106,103
106,64
108,105
112,105
106,64
107,105
107,105
113,64
109,112
110,112
109,112
108,112
110,112
116,112
114,112
110,112
113,112
111,64
109,64
115,108
116,108
116,108
114,108
115,108
117,64
117,116
116,64
115,115
119,115
121,115
117,115
122,115
122,115
124,64
125,124
123,124
122,64
125,64
129,128
127,128
128,128
127,64
135,127
134,128
135,133
137,128
137,136
137,128
139,136
139,138
147,138
144,138
143,128
146,143
145,143
151,128
148,151
152,151
154,151
155,128
155,154
156,154
158,154
158,154
159,154
164,128
162,163
162,163
164,128
168,163
168,128
169,167
168,128
171,167
169,128
171,168
174,128
174,173
171,173
172,128
174,171
178,171
171,128
176,128
172,175
174,175
174,175
174,175
174,173
175,128
173,174
171,128
175,170
174,170
174,170
169,128
172,168
171,128
167,170
168,170
167,167
170,167
169,167
161,167
168,167
160,167
163,128
162,162
156,162
158,162
156,128
156,155
154,128
154,128
151,128
149,150
150,150
148,150
147,150
143,150
141,150
140,150
139,150
140,128
139,128
136,128
138,135
136,135
133,135
130,128
134,129
129,133
129,133
127,133
125,126
123,126
126,126
122,125
129,128
120,128
119,128
122,118
123,64
119,64
120,118
115,118
116,118
115,118
113,118
116,118
111,64
113,64
114,112
113,112
115,112
114,64
115,113
114,113
115,113
112,113
113,113
113,113
112,64
111,111
111,111
110,110
112,110
111,110
110,110
109,110
108,110
112,110
111,110
109,110
112,110
109,64
108,108
112,108
109,108
109,108
110,108
112,64
110,111
108,64
111,107
109,107
114,64
110,113
106,113
111,113
114,64
113,113
114,113
108,64
112,107
109,107
110,64
108,64
109,107
109,107
112,107
112,107
111,64
108,64
110,108
109,108
112,108
113,108
112,64
109,111
105,64
107,64
113,107
110,64
109,64
114,108
113,108
111,108
110,108
110,64
111,109
114,64
111,113
112,113
113,113
108,113
112,64
110,64
106,109
107,109
109,64
112,108
111,108
111,64
115,64
108,64
111,64
111,111
110,111
111,111
108,111
114,111
110,111
115,111
111,111
113,110
111,110
111,110
110,110
111,64
112,64
110,64
111,64
110,111
116,64
111,115
114,64
111,64
112,64
109,64
111,64
112,111
115,111
112,111
114,111
113,64
115,112
111,112
116,64
111,115
110,64
109,110
116,64
113,115
111,115
114,64
113,64
116,64
109,64
111,108
111,108
108,108
114,108
111,108
113,108
117,64
111,116
111,116
112,116
114,116
111,64
111,111
114,111
113,111
108,111
110,111
115,64
113,64
111,64
112,111
112,111
114,111
110,113
111,64
113,111
112,64
114,64
110,113
113,113
115,64
114,64
113,113
112,64
111,112
113,112
115,112
113,112
111,64
112,111
113,111
112,112
114,112
114,112
115,112
116,64
115,64
111,114
112,114
113,114
113,114
111,114
113,64
113,112
113,112
114,64
117,113
115,113
120,64
116,64
115,115
116,64
118,64
118,117
122,117
117,117
122,64
121,64
119,120
124,64
126,123
123,64
126,64
124,126
126,64
131,128
130,131
129,129
133,129
132,129
133,131
136,132
133,128
135,132
137,134
139,134
139,134
136,134
139,134
135,138
139,138
133,138
137,138
133,128
137,132
133,136
129,136
129,136
130,128
130,128
126,128
126,125
126,125
124,125
120,125
120,64
121,64
122,120
122,120
120,64
119,119
119,64
116,119
116,119
115,119
114,119
117,119
116,119
117,115
116,115
116,115
116,115
115,115
116,115
114,115
116,115
116,115
114,64
115,113
114,113
114,113
113,64
117,64
117,64
116,64
119,64
115,119
121,64
115,64
116,115
114,115
116,115
117,115
115,115
119,115
116,64
116,115
114,115
116,115
115,115
114,115
114,115
121,115
115,115
113,115
114,115
115,115
117,115
117,64
117,64
114,116
116,116
113,115
113,115
112,115
110,64
113,64
111,112
109,112
106,64
105,105
99,105
105,64
106,104
113,104
122,64
133,121
150,121
174,121
201,121
228,192
