Sent,Recv
118,64
117,76
115,76
115,76
119,64
112,106
118,106
116,106
120,106
116,192
119,245
117,245
118,192
119,193
116,165
119,165
115,165
118,165
119,165
119,165
121,165
116,165
115,64
115,192
118,0
118,13
117,13
115,13
119,13
115,13
120,13
123,13
118,13
119,13
117,13
114,169
117,169
116,169
115,169
122,169
119,169
120,172
119,172
120,172
122,172
121,188
123,188
122,188
123,188
121,188
121,188
125,188
127,188
125,188
129,188
130,128
127,129
131,126
134,130
135,130
133,128
137,132
139,132
139,128
138,139
138,139
138,139
140,139
140,139
141,139
139,128
140,139
138,139
139,139
139,139
135,128
132,135
137,131
134,136
129,136
129,136
131,240
128,240
126,240
129,240
123,171
123,171
124,171
123,0
123,15
123,15
121,15
121,15
119,15
119,192
118,219
118,219
119,128
118,182
117,182
115,96
117,111
116,111
117,64
120,93
115,184
117,0
118,14
116,14
120,14
115,64
116,128
114,172
115,172
116,172
117,172
116,193
118,78
115,78
115,78
121,78
116,17
114,17
114,17
114,17
117,128
115,186
116,186
115,186
117,186
114,0
113,4
116,4
116,4
116,4
114,14
116,14
114,115
114,64
113,64
118,112
116,112
116,64
117,115
120,64
111,120
112,120
111,120
109,120
107,64
106,107
102,107
103,64
102,64
103,102
106,64
112,105
119,64
138,118
152,128
170,152
197,169
222,169
233,169
233,169
233,169
233,169
233,169
233,169
233,169
233,64
233,104
233,104
233,104
224,104
196,104
168,104
141,104
119,104
100,128
84,128
73,0
65,3
57,3
53,0
55,7
57,64
58,111
65,111
70,111
76,111
83,64
83,98
90,98
95,192
99,229
101,64
103,82
108,128
108,150
111,64
111,100
111,100
114,100
114,128
116,164
119,164
116,164
116,164
113,128
113,140
119,64
114,127
114,127
117,127
117,127
115,128
117,165
120,64
116,108
116,108
121,108
120,128
118,192
117,198
119,198
121,128
124,191
120,191
123,191
125,191
119,64
127,118
123,118
127,118
127,118
130,118
130,118
125,118
129,118
132,118
132,118
134,128
136,134
137,134
136,134
134,135
138,132
141,137
139,137
144,137
146,137
145,128
141,128
145,140
153,140
149,152
148,148
155,148
154,128
158,153
158,128
159,128
160,158
162,188
167,128
165,192
162,252
167,252
169,133
170,192
168,231
173,231
173,192
177,252
172,252
173,118
174,118
174,118
174,118
171,118
176,118
178,0
177,128
182,170
179,64
181,84
179,84
180,84
179,64
181,66
179,66
179,66
178,128
177,192
178,241
181,241
175,241
176,241
177,241
176,241
173,241
167,241
172,222
165,128
171,159
168,159
168,65
163,65
161,192
163,238
161,238
159,238
159,255
162,255
157,113
156,113
155,0
155,23
150,154
145,154
147,154
148,154
143,154
143,154
141,154
144,154
141,154
140,154
138,128
136,128
135,135
131,134
128,134
132,134
131,131
132,131
131,131
130,130
124,64
125,123
125,64
129,124
126,124
124,124
121,124
119,124
122,124
117,128
118,161
118,161
121,161
116,0
112,7
117,97
114,128
115,162
115,64
114,110
116,0
111,7
112,91
114,91
112,91
110,91
114,192
114,235
112,30
108,30
113,30
108,176
112,64
109,103
109,0
110,7
110,128
109,174
112,174
110,174
112,174
111,0
109,9
108,9
107,9
110,9
109,9
105,9
109,9
108,9
113,9
106,64
107,73
112,73
112,73
108,73
108,73
111,73
105,128
106,129
109,128
112,152
108,152
109,152
111,128
113,176
108,176
109,107
113,107
106,107
111,64
107,110
109,64
108,108
107,108
107,64
109,106
111,106
109,106
109,106
110,106
107,106
110,106
110,106
114,106
108,106
108,106
110,106
110,106
108,106
108,106
110,106
107,106
108,106
109,106
110,106
107,106
105,106
105,0
106,3
106,128
108,184
106,184
107,64
107,115
108,115
111,115
110,115
108,128
107,167
107,167
109,167
109,167
107,0
108,59
104,128
109,183
110,183
108,128
112,128
106,132
109,128
108,192
108,0
108,13
108,128
110,184
111,184
108,73
110,73
107,73
109,73
106,73
110,73
112,73
108,73
104,73
107,73
110,64
109,99
108,99
110,64
109,67
110,67
110,0
111,64
108,128
109,178
107,178
107,178
111,178
108,0
109,64
108,128
107,183
108,183
110,183
109,64
104,108
107,108
111,64
107,110
104,110
111,64
109,111
107,111
107,111
110,111
106,64
110,105
108,105
108,105
108,105
107,105
109,105
106,105
104,105
109,105
109,105
108,105
108,105
107,105
109,105
107,108
106,64
107,105
111,64
104,110
108,110
104,110
107,110
107,106
104,106
108,106
107,0
104,64
110,68
111,176
111,0
109,7
109,100
112,100
113,64
112,128
108,168
111,168
112,168
109,168
114,168
118,168
116,75
118,196
117,196
117,13
119,13
118,239
119,64
124,100
125,100
122,100
127,64
126,124
127,124
128,124
130,192
129,211
132,211
130,211
131,211
128,211
134,211
131,211
131,211
126,211
127,211
130,211
127,211
122,211
127,116
123,116
125,64
121,64
121,121
121,121
116,121
115,64
116,115
117,115
112,64
110,64
114,64
111,113
110,113
107,64
109,107
109,107
111,107
107,107
112,107
107,107
107,107
111,64
108,111
106,111
107,111
110,64
110,109
105,109
107,109
107,109
105,109
107,64
107,64
109,64
109,108
106,108
106,108
108,108
106,108
108,0
107,15
105,192
105,242
110,64
106,84
110,84
106,0
107,9
111,9
105,9
103,9
109,128
105,128
107,184
106,184
107,128
105,64
106,0
108,30
105,30
105,30
106,30
104,30
106,168
107,168
105,64
105,98
105,98
103,64
104,128
103,135
98,0
97,7
94,128
94,158
97,0
98,35
99,192
113,236
128,236
143,236
168,236
190,199
215,60
233,192
233,255
233,128
233,183
233,183
233,64
233,95
233,95
233,95
233,128
233,140
218,192
189,255
162,255
134,128
114,133
91,133
78,133
67,133
56,133
50,133
48,133
41,133
49,133
51,133
56,133
63,133
67,133
70,64
78,64
83,64
88,83
92,83
98,64
96,64
101,96
105,64
101,104
106,104
105,104
106,104
106,104
108,104
112,104
106,0
107,64
107,81
113,81
109,81
110,7
109,128
108,184
110,184
116,184
114,131
110,131
113,131
111,131
109,131
115,131
116,12
116,192
114,240
115,240
117,240
117,128
116,152
115,64
119,112
121,112
117,112
122,87
122,87
124,87
125,87
123,87
122,87
125,64
129,128
127,188
128,188
127,25
135,192
134,201
135,145
137,145
137,145
137,145
139,21
139,21
147,21
144,0
143,36
146,145
145,145
151,145
148,131
152,131
154,131
155,131
155,131
156,131
158,131
158,131
159,227
164,227
162,227
162,128
164,161
168,161
168,128
169,167
168,167
171,167
169,167
171,167
174,167
174,167
171,128
172,128
174,128
178,128
171,177
176,177
172,177
174,177
174,177
174,177
174,177
175,177
173,177
171,177
175,177
174,128
174,174
169,192
172,0
171,128
167,156
168,156
167,156
170,111
169,111
161,0
168,28
160,28
163,222
162,222
156,192
158,201
156,201
156,201
154,192
154,219
151,219
149,219
150,219
148,219
147,64
143,115
141,192
140,206
139,206
140,192
139,211
136,211
138,211
136,211
133,211
130,18
134,107
129,107
129,107
127,107
125,192
123,239
126,50
122,50
129,50
120,0
119,15
122,192
123,195
119,195
120,11
115,11
116,11
115,64
113,89
116,89
111,89
113,89
114,192
113,64
115,64
114,115
115,64
114,114
115,114
112,64
113,112
113,112
112,112
111,112
111,112
110,64
112,64
111,111
110,111
109,111
108,64
112,108
111,108
109,108
112,108
109,108
108,108
112,108
109,108
109,108
110,108
112,109
110,64
108,110
111,110
109,110
114,110
110,128
106,176
111,176
114,176
113,100
114,100
108,100
112,100
109,128
110,180
108,64
109,96
109,96
112,0
112,36
111,36
108,0
110,6
109,6
112,6
113,6
112,7
109,192
105,231
107,53
113,53
110,53
109,0
114,9
113,9
111,9
110,9
110,128
111,153
114,0
111,8
112,8
113,182
108,0
112,22
110,22
106,22
107,64
109,87
112,87
111,0
111,64
115,101
108,101
111,101
111,101
110,64
111,109
108,109
114,109
110,64
115,109
111,109
113,109
111,109
111,64
110,111
111,111
112,111
110,64
111,110
110,64
116,64
111,64
114,111
111,111
112,111
109,111
111,64
112,110
115,110
112,64
114,64
113,64
115,112
111,112
116,112
111,128
110,171
109,171
116,64
113,95
111,128
114,128
113,128
116,142
109,142
111,12
111,128
108,128
114,0
111,44
113,44
117,44
111,64
111,98
112,98
114,98
111,128
111,131
114,131
113,131
108,131
110,131
115,0
113,24
111,24
112,24
112,12
114,128
110,182
111,182
113,182
112,182
114,182
110,64
113,80
115,173
114,187
113,64
112,101
111,101
113,101
115,128
113,129
111,0
112,11
113,128
112,128
114,0
114,64
115,192
116,64
115,64
111,64
112,64
113,64
113,64
111,112
113,112
113,112
113,112
114,112
117,64
115,64
120,114
116,114
115,114
116,64
118,64
118,118
122,118
117,118
122,118
121,64
119,64
124,119
126,119
123,119
126,119
124,64
126,124
131,128
130,192
129,204
133,204
132,64
133,124
136,0
133,24
135,99
137,99
139,99
139,99
136,99
139,99
135,64
139,118
133,128
137,190
133,190
137,129
133,243
129,243
129,243
130,243
130,0
126,12
126,127
126,0
124,64
120,108
120,108
121,108
122,108
122,192
120,245
119,64
119,86
116,86
116,86
115,86
114,192
117,239
116,50
117,50
116,50
116,50
116,50
115,50
116,50
114,0
116,64
116,192
114,242
115,242
114,242
114,242
113,242
117,128
117,158
116,158
119,158
115,64
121,115
115,115
116,115
114,115
116,115
117,64
115,116
119,116
116,116
116,116
114,64
116,113
115,113
114,113
114,113
121,113
115,64
113,115
114,115
115,64
117,64
117,116
117,64
114,116
116,64
113,115
113,115
112,115
110,115
113,0
111,7
109,7
106,128
105,164
99,164
105,164
106,164
113,0
122,54
133,54
150,54
174,54
201,192
228,248
233,248
233,192
233,192
233,255
233,255
233,255
233,255
233,255
233,192
233,255
233,255
224,98
197,98
172,192
144,218
121,218
104,218
86,218
76,218
66,218
59,218
57,218
57,218
60,218
60,218
66,218
71,218
78,218
80,0
90,58
94,58
95,0
104,6
109,192
110,0
113,11
113,11
111,11
112,64
117,111
116,111
116,64
118,115
119,115
116,115
118,115
122,115
117,64
121,116
119,116
121,116
122,116
122,116
122,116
119,116
123,116
120,116
123,64
123,122
124,122
124,122
122,64
122,121
127,121
126,121
128,121
127,121
125,121
130,121
128,121
130,121
129,121
134,121
130,0
132,64
134,92
133,92
137,92
140,92
137,92
140,128
135,129
141,192
142,194
142,227
147,64
146,126
147,126
148,126
146,126
149,126
155,0
150,15
154,192
156,233
162,233
161,233
160,192
165,254
162,254
167,254
164,234
170,234
168,234
168,234
171,128
173,153
173,153
176,192
175,234
178,234
179,234
179,234
179,128
181,192
182,192
186,222
184,192
185,192
190,255
185,255
185,168
186,168
183,128
184,182
184,182
186,182
185,128
185,184
187,184
186,186
183,128
182,182
185,128
184,128
178,183
180,183
180,183
181,128
180,180
178,180
177,180
175,180
173,180
172,180
172,180
171,180
166,128
167,128
167,166
165,166
164,128
164,163
159,192
157,224
158,224
159,48
159,192
156,255
151,62
152,62
151,62
150,0
149,128
145,192
146,217
145,217
145,217
141,217
140,217
135,217
138,217
137,217
135,217
136,217
135,217
130,224
134,224
131,118
132,118
128,118
130,118
129,192
129,0
128,64
127,112
124,112
123,112
124,64
125,118
123,118
125,15
123,15
122,15
122,15
